"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000270077 (pp) 9606.ENSP00000332215","false","pp","9606.ENSP00000270077 (pp) 9606.ENSP00000332215","0.778","0.049","0.0","0.78","0.0",,"0.0","0.967","0.383"
"pp","9606.ENSP00000278282 (pp) 9606.ENSP00000306490","false","pp","9606.ENSP00000278282 (pp) 9606.ENSP00000306490","0.047","0.0","0.0","0.0","0.0",,"0.0","0.763","0.762"
"pp","9606.ENSP00000278282 (pp) 9606.ENSP00000316152","false","pp","9606.ENSP00000278282 (pp) 9606.ENSP00000316152","0.671","0.0","0.0","0.0","0.0",,"0.0","0.95","0.855"
"pp","9606.ENSP00000284523 (pp) 9606.ENSP00000339191","false","pp","9606.ENSP00000284523 (pp) 9606.ENSP00000339191","0.0","0.0","0.8","0.0","0.0",,"0.0","0.894","0.494"
"pp","9606.ENSP00000284523 (pp) 9606.ENSP00000348944","false","pp","9606.ENSP00000284523 (pp) 9606.ENSP00000348944","0.062","0.0","0.0","0.045","0.0",,"0.0","0.903","0.9"
"pp","9606.ENSP00000285879 (pp) 9606.ENSP00000354660","false","pp","9606.ENSP00000285879 (pp) 9606.ENSP00000354660","0.775","0.069","0.0","0.0","0.0",,"0.0","0.795","0.101"
"pp","9606.ENSP00000286355 (pp) 9606.ENSP00000369689","false","pp","9606.ENSP00000286355 (pp) 9606.ENSP00000369689","0.042","0.0","0.9","0.059","0.0",,"0.0","0.993","0.933"
"pp","9606.ENSP00000287641 (pp) 9606.ENSP00000399745","false","pp","9606.ENSP00000287641 (pp) 9606.ENSP00000399745","0.064","0.0","0.65","0.0","0.0",,"0.0","0.712","0.192"
"pp","9606.ENSP00000287641 (pp) 9606.ENSP00000370421","false","pp","9606.ENSP00000287641 (pp) 9606.ENSP00000370421","0.042","0.0","0.0","0.0","0.0",,"0.0","0.73","0.73"
"pp","9606.ENSP00000287641 (pp) 9606.ENSP00000306490","false","pp","9606.ENSP00000287641 (pp) 9606.ENSP00000306490","0.135","0.0","0.65","0.0","0.0",,"0.0","0.74","0.212"
"pp","9606.ENSP00000287641 (pp) 9606.ENSP00000305372","false","pp","9606.ENSP00000287641 (pp) 9606.ENSP00000305372","0.0","0.0","0.65","0.0","0.0",,"0.0","0.754","0.327"
"pp","9606.ENSP00000287641 (pp) 9606.ENSP00000387662","false","pp","9606.ENSP00000287641 (pp) 9606.ENSP00000387662","0.265","0.0","0.0","0.0","0.0",,"0.0","0.986","0.982"
"pp","9606.ENSP00000292125 (pp) 9606.ENSP00000382334","false","pp","9606.ENSP00000292125 (pp) 9606.ENSP00000382334","0.772","0.051","0.0","0.0","0.0",,"0.0","0.778","0.06"
"pp","9606.ENSP00000292125 (pp) 9606.ENSP00000384770","false","pp","9606.ENSP00000292125 (pp) 9606.ENSP00000384770","0.776","0.049","0.0","0.0","0.0",,"0.0","0.781","0.056"
"pp","9606.ENSP00000292125 (pp) 9606.ENSP00000332215","false","pp","9606.ENSP00000292125 (pp) 9606.ENSP00000332215","0.809","0.049","0.0","0.0","0.0",,"0.0","0.813","0.057"
"pp","9606.ENSP00000292125 (pp) 9606.ENSP00000308970","false","pp","9606.ENSP00000292125 (pp) 9606.ENSP00000308970","0.784","0.05","0.0","0.19","0.0",,"0.0","0.822","0.056"
"pp","9606.ENSP00000294312 (pp) 9606.ENSP00000369375","false","pp","9606.ENSP00000294312 (pp) 9606.ENSP00000369375","0.0","0.0","0.65","0.168","0.0",,"0.0","0.747","0.201"
