"gene_id","biomart_id","entrez_id","gene_name","log2FoldChange","pvalue","padj"
"ENSG00000224014.1","ENSG00000224014",NA,NA,1.28815423243196,1.6622956922864e-09,7.19235128956624e-09
"ENSG00000227262.3","ENSG00000227262",NA,NA,1.28797767516698,1.99758070999798e-10,9.46144117543742e-10
"ENSG00000224655.7","ENSG00000224655","101927801","LINC01823",1.28781215411125,0.00429122906726974,0.00797745266344843
"ENSG00000279250.1","ENSG00000279250",NA,NA,1.28775398799413,0.00951236485606623,0.0166016046256671
"ENSG00000257477.1","ENSG00000257477",NA,NA,-1.28767247538007,9.8303668521906e-05,0.000238509133033986
"ENSG00000138182.15","ENSG00000138182","9585","KIF20B",1.28765113825349,1.88249605398448e-29,3.65412475186926e-28
"ENSG00000134253.10","ENSG00000134253","80263","TRIM45",1.28761230349106,4.36176363139046e-29,8.26549497820596e-28
"ENSG00000270296.1","ENSG00000270296",NA,NA,1.28735259169708,0.00557546032346842,0.0101561212859792
"ENSG00000227634.3","ENSG00000227634",NA,NA,1.28718554121702,2.13402769023925e-07,7.28882441164012e-07
"ENSG00000271437.1","ENSG00000271437",NA,NA,1.28685426953243,0.0147388429498412,0.024834010653195
"ENSG00000282977.1","ENSG00000282977","102157401","PCBP2-OT1",1.28668545396452,1.50565215683485e-07,5.24675943031121e-07
"ENSG00000159753.14","ENSG00000159753","146206","CARMIL2",1.28667158308367,2.80901740604456e-15,2.01354223179361e-14
"ENSG00000246662.6","ENSG00000246662","642924","CIBAR1-DT",-1.28663813717951,7.87613616993877e-11,3.88528300504941e-10
"ENSG00000287048.1","ENSG00000287048",NA,NA,1.28659745713213,6.59757138970657e-05,0.000164280201665931
"ENSG00000106025.9","ENSG00000106025","23554","TSPAN12",-1.28652620845144,5.33153877584373e-26,8.27340907525605e-25
"ENSG00000232398.1","ENSG00000232398","100381178","TMPRSS11CP",1.28635259989062,6.05716577461945e-05,0.000151728319172489
"ENSG00000135094.11","ENSG00000135094","10993","SDS",1.28560384684318,2.36046641978322e-09,1.00398779687289e-08
"ENSG00000223522.2","ENSG00000223522","100505716","LOC100505716",1.28543624931978,6.66182817470981e-08,2.4202711403424e-07
"ENSG00000196109.9","ENSG00000196109","163223","ZNF676",1.28540621513653,4.22092642667979e-05,0.000108133509350628
"ENSG00000237346.2","ENSG00000237346","105374943","LOC105374943",1.2853318845415,0.00116951759917418,0.0023966724696675
"ENSG00000240375.1","ENSG00000240375",NA,NA,1.28507339475025,0.00877102168368643,0.0153959647183755
"ENSG00000226644.5","ENSG00000226644",NA,NA,-1.2850146619011,8.02260176932871e-06,2.25952437736698e-05
"ENSG00000234785.1","ENSG00000234785","642357","EEF1GP5",1.28491978041267,2.85783510237329e-08,1.08105861952241e-07
"ENSG00000286855.1","ENSG00000286855",NA,NA,1.28476438430457,0.0275885245872298,0.0441112725559349
"ENSG00000221955.11","ENSG00000221955","84561","SLC12A8",1.28475897281046,2.229462867037e-27,3.80117786684983e-26
"ENSG00000231236.2","ENSG00000231236",NA,NA,1.28469874867616,0.000749764003668356,0.00158658034233405
"ENSG00000229498.1","ENSG00000229498",NA,NA,-1.2846731386684,1.18826642504457e-08,4.68608951818412e-08
"ENSG00000228318.3","ENSG00000228318",NA,NA,1.28463806795821,9.56345653404674e-08,3.41366374851177e-07
"ENSG00000226706.1","ENSG00000226706","101928525","LOC101928525",1.28452304208687,5.28358347531731e-09,2.16056602795204e-08
"ENSG00000230154.1","ENSG00000230154",NA,NA,1.28417278578907,9.95036193818941e-06,2.77203548527612e-05
"ENSG00000287587.1","ENSG00000287587",NA,NA,1.28411566298196,0.00607577323851662,0.0109894490063695
"ENSG00000241956.10","ENSG00000241956","102546299","LOC102546299",-1.28407117343505,0.000175586947352712,0.000409659298697874
"ENSG00000274419.6","ENSG00000274419","101060389","TBC1D3D",1.28406775185965,0.0132030763204563,0.022455928162761
"ENSG00000207508.1","ENSG00000207508","106480651","RNU6-1237P",1.28405048621171,0.0282132527919854,0.0450182659852183
"ENSG00000286791.1","ENSG00000286791",NA,NA,1.2839359164478,0.000135228558458544,0.000321449018207417
"ENSG00000114859.16","ENSG00000114859","1181","CLCN2",1.28386374623699,9.95018743593989e-39,3.21906174503869e-37
"ENSG00000160211.19","ENSG00000160211","2539","G6PD",1.28382434347897,3.08853964777214e-12,1.72534249087121e-11
"ENSG00000264024.2","ENSG00000264024","100616135","MIR4507",1.28380635750878,0.00137044686250666,0.00277793796374201
"ENSG00000260075.1","ENSG00000260075","474170","LRRC37A2",1.28378497288083,4.94714172373213e-05,0.000125422421061969
"ENSG00000244692.3","ENSG00000244692","106479487","RN7SL724P",1.28371941413145,0.0228058164661564,0.0370296973334005
"ENSG00000270225.1","ENSG00000270225","100289404","MTCO2P22",1.28363255083248,0.00141321557365639,0.00285618511014154
